ID	parentID	basionymID	status	rank	scientificName	authorship	nameStatus	nameReferenceID	namePublishedInYear	namePublishedInPage	namePublishedInPageLink	referenceID	scrutinizer	scrutinizerDate	extinct	temporalRangeStart	temporalRangeEnd	remarks
ZOBO00125514	xGU		accepted	species	Pseudozethus ephippium	(de Saussure)		ZOBO00032633					Gusenleitner J.	2011-11	f			
ZOBO00125512	xGU		accepted	species	Pseudozethus insignis	(de Saussure)		ZOBO00032633					Gusenleitner J.	2011-11	f			
ZOBO00125513	xGU		accepted	species	Pseudozethus pseudospinosus	Giordani Soika		ZOBO00032633					Gusenleitner J.	2011-11	f			
ZOBO00125511	xGU		accepted	species	Pseudozethus spinosus	(de Saussure)		ZOBO00032633					Gusenleitner J.	2011-11	f			
ZOBO00125505	xGU		accepted	species	Pseudozethus verreauxii	(de Saussure)		ZOBO00032633					Gusenleitner J.	2011-11	f			
ZOBO00034854	x3J		accepted	species	Pseudozumia bimaculata	(Meade-Waldo, 1911)		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00125315	x3J		accepted	species	Pseudozumia burmanica	(Bingham)		ZOBO00034859					Gusenleitner J.	2011-11	f			
ZOBO00125708	ZOBO00125315		accepted	subspecies	Pseudozumia burmanica malayana	(Dover)		ZOBO00034859					Gusenleitner J.	2011-11	f			
ZOBO00125316	x3J		accepted	species	Pseudozumia impavida	(Bingham)		ZOBO00034859					Gusenleitner J.	2011-11	f			
ZOBO00034856	x3J		accepted	species	Pseudozumia indica	(de Saussure, 1856)		ZOBO00031834					Gusenleitner J.	2011-11	f			
ZOBO00034857	ZOBO00034856		accepted	subspecies	Pseudozumia indica borneana	Giordani Soika, 1960		ZOBO00032748					Gusenleitner J.	2011-11	f			
ZOBO00033910	x5G		accepted	species	Montezumia insolita	Willink, 1982							Gusenleitner J.	2011-11	f			
ZOBO00125805	ZOBO00034856		accepted	subspecies	Pseudozumia indica continentalis	Giordani Soika, 1958		ZOBO00032748					Gusenleitner J.	2011-11	f			
ZOBO00034858	x3J		accepted	species	Pseudozumia indosinensis	Giordani Soika, 1958		ZOBO00031834					Gusenleitner J.	2011-11	f			
ZOBO00034859	x3J		accepted	species	Pseudozumia orientalis	(Gribodo, 1891)		ZOBO00034859					Gusenleitner J.	2011-11	f			
ZOBO00125317	x3J		accepted	species	Pseudozumia rufipetiolata	(Wickward)		ZOBO00034859					Gusenleitner J.	2011-11	f			
ZOBO00034861	x3J		accepted	species	Pseudozumia viridipennis	Giordani Soika, 1958		ZOBO00031834					Gusenleitner J.	2011-11	f			
ZOBO00034877	xCC		accepted	species	Psiliglossa odyneroides	(S.Saunders, 1850)		ZOBO00010025					Gusenleitner J.	2011-11	f			
ZOBO00125503	x42		accepted	species	Pterocheilus anatolicus	Bl.		ZOBO00010025					Gusenleitner J.	2011-11	f			
ZOBO00034884	x42		accepted	species	Pterocheilus arabicus	Giordani Soika, 1970		ZOBO00010025					Gusenleitner J.	2011-11	f			
ZOBO00125620	ZOBO00163363		accepted	subspecies	Pterocheilus atrohirtus fereniger	Giordani Soika		ZOBO00018085					Gusenleitner J.	2011-11	f			
ZOBO00125123	x42		accepted	species	Pterocheilus bicoloricornis	Giordani Soika		ZOBO00018085					Gusenleitner J.	2011-11	f			
ZOBO00153526	x42		accepted	species	Pterocheilus capensis	de Saussure		ZOBO00031760					Gusenleitner J.	2011-11	f			
ZOBO00034890	x42		accepted	species	Pterocheilus chobauti	Dusmet, 1928		ZOBO00010062					Gusenleitner J.	2011-11	f			
ZOBO00034891	ZOBO00034890		accepted	subspecies	Pterocheilus chobauti calefactus	Giordani Soika, 1970		ZOBO00010025					Gusenleitner J.	2011-11	f			
ZOBO00125502	x42		accepted	species	Pterocheilus coctus	Giordani Soika		ZOBO00010025					Gusenleitner J.	2011-11	f			
ZOBO00125124	x42		accepted	species	Pterocheilus cyaneipennis	André		ZOBO00018085					Gusenleitner J.	2011-11	f			
ZOBO00034905	x42		accepted	species	Pterocheilus eurystomus	Kohl, 1906		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00125173	x42		accepted	species	Pterocheilus fausti	Morawitz		ZOBO00031812					Gusenleitner J.	2011-11	f			
ZOBO00125779	ZOBO00125173		accepted	subspecies	Pterocheilus fausti aurantiopictus	Giordani Soika		ZOBO00010025					Gusenleitner J.	2011-11	f			
ZOBO00125777	ZOBO00125173		accepted	subspecies	Pterocheilus fausti paravespoides	(Bl.)		ZOBO00010025					Gusenleitner J.	2011-11	f			
ZOBO00125507	x42		accepted	species	Pterocheilus fereniger	Giordani Soika		ZOBO00010025					Gusenleitner J.	2011-11	f			
ZOBO00125136	x42		accepted	species	Pterocheilus hasdrubal	Schm.		ZOBO00010062					Gusenleitner J.	2011-11	f			
ZOBO00153524	x42		accepted	species	Pterocheilus insignis	de Saussure		ZOBO00031760					Gusenleitner J.	2011-11	f			
ZOBO00034914	x42		accepted	species	Pterocheilus mandibularis	Morawitz, 1889		ZOBO00032251					Gusenleitner J.	2011-11	f			
ZOBO00125504	x42		accepted	species	Pterocheilus mavromoustakisi	Giordani Soika		ZOBO00010025					Gusenleitner J.	2011-11	f			
ZOBO00125137	x42		accepted	species	Pterocheilus ornatus	Lepeletier		ZOBO00010062					Gusenleitner J.	2011-11	f			
ZOBO00034931	x42		accepted	species	Pterocheilus perpunctatus	Giordani Soika, 1970		ZOBO00010025					Gusenleitner J.	2011-11	f			
ZOBO00010024	x42		accepted	species	Pterocheilus phaleratus	(Panzer, 1797)		ZOBO00010007					Gusenleitner J.	2011-11	f			
ZOBO00034932	ZOBO00010024		accepted	subspecies	Pterocheilus phaleratus chevrieranus	(de Saussure, 1856)		ZOBO00010020					Gusenleitner J.	2011-11	f			
ZOBO00034934	ZOBO00010024		accepted	subspecies	Pterocheilus phaleratus kaszabi	Giordani Soika, 1970		ZOBO00032251					Gusenleitner J.	2011-11	f			
ZOBO00125138	x42		accepted	species	Pterocheilus rothi	Dusmet		ZOBO00010062					Gusenleitner J.	2011-11	f			
ZOBO00153535	x42		accepted	species	Pterocheilus schulthessi	(Meade-Waldo)		ZOBO00031760					Gusenleitner J.	2011-11	f			
ZOBO00125506	x42		accepted	species	Pterocheilus tertius	Giordani Soika		ZOBO00010025					Gusenleitner J.	2011-11	f			
ZOBO00125501	x42		accepted	species	Pterocheilus tibetanus	Meade-Waldo		ZOBO00032260					Gusenleitner J.	2011-11	f			
ZOBO00125491	x42		accepted	species	Pterocheilus uralensis	Kostylev		ZOBO00032251					Gusenleitner J.	2011-11	f			
ZOBO00125499	x42		accepted	species	Pterocheilus waltoni	Meade-Waldo		ZOBO00032260					Gusenleitner J.	2011-11	f			
ZOBO00125448	x34		accepted	species	Pterochilus albidus	Giordani Soika		ZOBO00032124					Gusenleitner J.	2011-11	f			
ZOBO00124986	x34		accepted	species	Pterochilus albopictus	Kriechbaumer		ZOBO00010060					Gusenleitner J.	2011-11	f			
ZOBO00125039	x34		accepted	species	Pterochilus ata	Giordani Soika		ZOBO00033017					Gusenleitner J.	2011-11	f			
