col:taxonID	col:sourceID	col:areaID	col:area	col:gazetteer	col:status	col:referenceID	col:remarks
ZOBO00036565			IDN NPL THA	text	native		
ZOBO00036566			THA	text	native		
ZOBO00036575			CMR TUN	text	native		
ZOBO00036570			IDN TWN	text	native		
ZOBO00036544			GTM MEX	text	native		
ZOBO00036549			IDN IND KHM LAO MDV NPL PAK THA UZB	text	native		
ZOBO00037054			PHL	text	native		
ZOBO00036559			IND NPL	text	native		
ZOBO00036558			PNG	text	native		
ZOBO00036590			CMR	text	native		
ZOBO00036585			GUF PER	text	native		
ZOBO00036578			PNG	text	native		
ZOBO00036601			PER	text	native		
ZOBO00036594			ARG BRA ECU PER TTO VEN	text	native		
ZOBO00036597			ARE IRN IRQ JOR MRT NPL OMN PAK	text	native		
ZOBO00036599			PHL PRI	text	native		
ZOBO00036493			CUB	text	native		
ZOBO00036521			IDN THA	text	native		
ZOBO00036519			PER	text	native		
ZOBO00036501			IDN NPL	text	native		
ZOBO00036504			TWN	text	native		
ZOBO00031717			CHN	text	native		
ZOBO00036510			THA	text	native		
ZOBO00036502			NPL PAK	text	native		
ZOBO00036503			IDN	text	native		
ZOBO00036500			DEU	text	native		
ZOBO00036531			TWN	text	native		
ZOBO00036526			AUT MDG	text	native		
ZOBO00036542			CHN	text	native		
ZOBO00036538			GIN ZAF ZMB	text	native		
ZOBO00036534			ARG BRA	text	native		
ZOBO00036344			BRA GUF	text	native		
ZOBO00036345			BRA	text	native		
ZOBO00036346			ARG CHL	text	native		
ZOBO00036351			BOL CHL	text	native		
ZOBO00036336			USA	text	native		
ZOBO00036324			NPL	text	native		
ZOBO00036312			NPL	text	native		
ZOBO00036313			MDG	text	native		
ZOBO00036315			MDG	text	native		
ZOBO00036317			USA	text	native		
ZOBO00036318			USA	text	native		
ZOBO00036399			CIV COD MWI SEN TGO YEM ZAF ZMB	text	native		
ZOBO00036397			BHS MEX USA	text	native		
ZOBO00036396			COL CRI PER	text	native		
ZOBO00036381			GIN KEN TZA ZAF ZMB	text	native		
ZOBO00036380			BRA GUF PER	text	native		
ZOBO00036388			GTM JAM MEX USA	text	native		
